AQI Category,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
1,48,1,29,8,48
1,48,1,29,8,48
1,48,1,29,8,48
1,48,1,29,8,48
1,36,1,34,5,36
0,58,1,45,4,58
1,36,0,36,0,27
1,42,1,42,1,31
2,168,4,168,1,165
0,74,1,12,10,74
0,62,1,45,3,62
1,31,1,31,0,20
1,28,1,28,1,27
1,28,1,28,1,27
1,28,1,28,1,27
0,64,1,44,2,64
0,80,1,11,2,80
1,50,1,43,1,50
0,64,1,22,0,64
0,74,2,32,6,74
1,32,1,32,1,15
1,25,1,18,0,25
0,69,1,41,2,69
0,55,0,22,0,55
0,55,2,26,13,55
0,55,1,55,1,40
0,60,2,23,0,60
1,21,0,21,0,20
2,151,1,74,0,151
1,20,0,20,0,19
1,43,1,40,1,43
0,85,1,17,3,85
1,23,0,23,0,17
0,78,1,43,2,78
0,61,1,50,4,61
1,32,0,32,1,20
1,32,0,32,1,20
1,47,1,31,3,47
0,63,1,27,7,63
0,56,1,30,0,56
2,166,11,18,8,166
0,56,1,56,1,50
0,60,1,46,3,60
0,62,1,25,4,62
0,54,1,16,10,54
1,36,1,27,4,36
2,157,0,36,0,157
1,30,1,30,0,27
0,76,1,31,3,76
1,49,1,28,0,49
1,23,1,23,0,17
0,52,2,26,11,52
1,31,1,31,2,20
1,40,1,40,1,24
0,58,2,30,9,58
0,67,1,34,1,67
0,98,3,5,24,98
1,31,1,28,2,31
1,24,0,5,1,24
1,24,0,5,1,24
1,24,0,5,1,24
2,156,6,0,9,156
0,63,1,12,13,63
1,35,1,35,0,25
1,38,1,30,11,38
0,60,1,3,5,60
1,44,1,15,8,44
0,54,1,54,0,31
0,70,2,18,15,70
0,69,2,18,13,69
0,73,2,15,18,73
0,73,2,15,18,73
1,27,0,27,2,20
0,75,1,15,8,75
1,40,1,24,3,40
1,30,0,30,1,21
1,40,1,40,0,25
1,34,1,12,1,34
0,60,1,44,0,60
3,201,2,95,2,201
1,47,2,7,0,47
1,28,1,28,2,27
0,59,1,35,2,59
1,43,1,36,4,43
1,43,1,36,4,43
0,53,1,40,4,53
0,53,1,40,4,53
0,51,1,31,6,51
1,21,1,21,0,18
4,120,1,27,1,120
1,15,0,14,0,15
1,33,1,33,1,19
0,53,1,7,4,53
1,43,0,18,2,43
1,28,1,8,2,28
0,59,1,13,3,59
0,59,1,13,3,59
1,23,1,19,4,23
1,23,1,19,4,23
1,50,1,33,4,50
0,60,2,39,8,60
0,60,2,39,8,60
0,60,1,26,2,60
1,40,1,33,5,40
0,93,1,27,0,93
1,32,1,27,0,32
1,39,1,39,0,24
1,24,0,24,0,17
0,52,1,42,2,52
1,26,1,23,6,26
1,26,1,23,6,26
1,26,1,23,6,26
1,26,1,23,6,26
1,31,1,25,2,31
1,50,1,25,4,50
0,99,2,70,1,99
1,35,1,35,0,29
0,66,1,17,4,66
1,46,1,11,3,46
3,204,3,10,15,204
0,52,2,3,7,52
1,42,1,40,2,42
1,42,1,40,2,42
0,55,1,27,2,55
0,95,1,23,0,95
0,95,1,23,0,95
0,95,1,23,0,95
0,95,1,23,0,95
1,35,1,35,0,26
1,29,1,25,3,29
1,33,1,24,3,33
1,35,1,24,3,35
1,39,1,23,4,39
2,152,1,140,3,152
0,66,2,28,11,66
0,75,1,30,0,75
0,71,1,44,1,71
0,59,1,32,3,59
0,64,2,27,5,64
2,170,8,15,6,170
1,28,1,26,3,28
1,30,0,30,1,28
1,24,1,24,8,12
1,49,1,49,2,32
1,49,1,49,2,32
1,29,1,14,11,29
2,157,2,36,2,157
0,58,2,7,0,58
1,34,1,26,2,34
1,46,1,46,1,37
0,65,2,30,12,65
0,56,1,17,3,56
0,72,2,16,13,72
0,58,1,26,2,58
1,25,1,25,3,23
2,186,9,6,21,186
1,22,0,13,6,22
0,82,3,8,5,82
2,198,11,6,30,198
4,108,1,29,1,108
0,63,1,26,1,63
0,76,1,28,0,76
0,60,1,52,0,60
0,91,2,40,0,91
0,59,1,23,4,59
0,57,1,48,0,57
1,29,1,27,1,29
1,41,1,21,0,41
1,39,1,26,1,39
1,39,1,26,1,39
1,47,1,47,1,30
0,53,1,46,3,53
1,39,1,39,0,39
1,37,1,37,0,31
1,44,1,32,3,44
1,31,1,31,1,28
0,60,1,24,0,60
